Team1,Team_x,Team2,Team_y,Winner,Prediction
MIN,Timberwolves,BOS,Celtics,BOS,Celtics,,,,,,,,
MIN,Timberwolves,DEN,Nuggets,DEN,Nuggets,,,,,,,,
MIN,Timberwolves,MIA,Heat,MIN,Timberwolves,,,,,,,,
MIN,Timberwolves,NYK,Knicks,MIN,Timberwolves,,,,,,,,
SAS,Spurs,ORL,Magic,ORL,Magic,,,,,,,,
SAS,Spurs,MEM,Grizzlies,SAS,Spurs,,,,,,,,
SAS,Spurs,LAC,Clippers,SAS,Spurs,,,,,,,,
SAS,Spurs,SAC,Kings,SAS,Spurs,,,,,,,,
SAS,Spurs,CLE,Cavaliers,SAS,Spurs,,,,,,,,
SAS,Spurs,CHO,Hornets,CHO,Hornets,,,,,,,,
SAS,Spurs,BRK,Nets,BRK,Nets,,,,,,,,
SAS,Spurs,UTA,Jazz,UTA,Jazz,,,,,,,,
SAS,Spurs,NOP,Pelicans,NOP,Pelicans,,,,,,,,
SAS,Spurs,CHI,Bulls,CHI,Bulls,,,,,,,,
SAS,Spurs,PHO,Suns,PHO,Suns,,,,,,,,
SAS,Spurs,GSW,Warriors,SAS,Spurs,,,,,,,,
SAS,Spurs,IND,Pacers,SAS,Spurs,,,,,,,,
SAS,Spurs,MIL,Bucks,SAS,Spurs,,,,,,,,
SAS,Spurs,POR,Trailblazers,POR,Trailblazers,,,,,,,,
SAS,Spurs,HOU,Rockets,SAS,Spurs,,,,,,,,
SAS,Spurs,PHI,76ers,PHI,76ers,,,,,,,,
SAS,Spurs,OKC,Thunder,OKC,Thunder,,,,,,,,
SAS,Spurs,DET,Pistons,SAS,Spurs,,,,,,,,
SAS,Spurs,TOR,Raptors,TOR,Raptors,,,,,,,,
SAS,Spurs,LAL,Lakers,SAS,Spurs,,,,,,,,
SAS,Spurs,WAS,Wizards,WAS,Wizards,,,,,,,,
SAS,Spurs,BOS,Celtics,SAS,Spurs,,,,,,,,
SAS,Spurs,DEN,Nuggets,DEN,Nuggets,,,,,,,,
SAS,Spurs,MIA,Heat,SAS,Spurs,,,,,,,,
SAS,Spurs,NYK,Knicks,NYK,Knicks,,,,,,,,
ORL,Magic,MEM,Grizzlies,ORL,Magic,,,,,,,,
